feats,Top,p.value,FDR,logFC,cluster,ranking,hgnc_symbol
ENST00000515279,75,0.00132115088673251,0.229157523462267,-0.172101497817979,3,12833,GSTCD
ENST00000517490,18,0.000886755438860387,0.563213063459584,-0.238014019716005,1,13161,CPNE3
ENST00000518073,298,0.00407667497983451,0.181055969523023,-0.0853580725041812,4,11446,MINCR
ENST00000518127,122,0.0064033045945445,0.676211126177819,-0.1299897075741,1,12689,ELOC
ENST00000518597,274,0.0036647964884179,0.176878813067436,-0.0872909792913053,4,11508,RBM12B
ENST00000519106,143,0.0013676323606024,0.126034148143376,-0.186004656626348,4,12868,CLDN23
ENST00000519262,5,0.000314372696964431,0.563213063459584,-0.273793733523772,1,13208,FAM110B
ENST00000519295,540,0.00978446885997867,0.239008611358441,-0.0955143172738603,4,11719,AP3B1
ENST00000519480,263,0.00341413124245479,0.17217347022311,-0.0967050925963347,4,11752,MCPH1
ENST00000519657,250,0.0061971880620153,0.328773221066036,-0.0899206559921038,3,11648,RBPMS
ENST00000520271,420,0.00644987171953561,0.203359647945698,-0.0871471469203108,4,11503,COX6C
ENST00000520348,370,0.00538461704553159,0.192883335184768,-0.0714385958563653,4,10932,SNHG6
ENST00000520553,150,0.0014579915578363,0.12759928653792,-0.102961813925868,4,11904,HCK
ENST00000521015,268,0.00911913765234384,0.446180202062386,-0.162422331335035,2,12840,ELP3
ENST00000521389,302,0.00416390480447134,0.182867117290409,-0.253051984995962,4,13085,RNF130
ENST00000521555,101,0.00487963752245691,0.629083702481055,-0.0775562620777934,1,11756,NPIPB5
ENST00000521620,269,0.0068048581850436,0.334993223473695,-0.0935049361957687,3,11747,WRN
ENST00000521663,490,0.00834128577544664,0.225776475999487,-0.0729319845081817,4,11009,LINC00588
ENST00000521688,494,0.00846672438588624,0.226843074159455,-0.294482880026296,4,13161,ENY2
ENST00000522484,449,0.00720848547333762,0.212931275797053,-0.103260367356333,4,11913,FZD6
ENST00000523288,238,0.007907722136609,0.439296589525128,-0.0932691561993133,2,11867,CYRIB
ENST00000523677,10,0.000186119289832709,0.219796784955403,-0.143012494585653,2,12690,C1orf210
ENST00000523812,16,0.000303275297795154,0.219796784955403,-0.224168247370304,2,13093,GLI4
ENST00000523812,843,0.0188912109767131,0.297174300248401,0.512034649453957,4,7,GLI4
ENST00000524226,208,0.00503897270697473,0.314476552035511,-0.0861405698924822,3,11550,PCM1
ENST00000524228,377,0.00562942114513731,0.196965004658287,-0.0703523117409513,4,10888,WWC1
ENST00000524342,229,0.00550971756632741,0.314476552035511,-0.078027088551604,3,11269,TCF7
ENST00000524349,36,0.000579301989152428,0.197092927318442,-0.165952557554977,3,12787,RPS20
ENST00000524591,251,0.00859906053616113,0.446180202062386,-0.0539460442888771,2,10267,TRMT9B
ENST00000525428,546,0.00991484236200548,0.239008611358441,0.548534111750111,4,3,CLNS1A
ENST00000525509,70,0.00315269864593497,0.589817875373778,-0.154936881108717,1,12875,ZFPL1
ENST00000525842,196,0.00471560105290413,0.314476552035511,-0.111447487701345,3,12138,ZBTB44
ENST00000526049,33,0.000676715623587515,0.271978161080037,-0.461782642046752,2,13260,SELENOS
ENST00000526049,180,0.00412155399805251,0.303689837089836,0.508305112282134,3,7,SELENOS
ENST00000526612,219,0.00531927195064795,0.314476552035511,-0.0790549175347866,3,11304,""
ENST00000526612,369,0.00535926499295541,0.192628540925657,-0.0727305241320037,4,10998,""
ENST00000526623,191,0.00459652448786358,0.314476552035511,-0.13544293807453,3,12489,CAPN1-AS1
ENST00000527353,420,0.0119724535377507,0.377260254542624,0.48470889774489,3,10,PIGY
ENST00000527401,71,0.000471414902929208,0.0874767052169189,-0.109375011830252,4,12047,PHF21A
ENST00000528095,267,0.00904291350962388,0.446180202062386,-0.0692755879503903,2,11093,RSF1
ENST00000528095,518,0.00909640284064415,0.232906546091628,-0.063179336210756,4,10549,RSF1
ENST00000528736,252,0.00325568963671497,0.170495024109072,-0.107920528266914,4,12003,RASSF7
ENST00000528752,187,0.00609113114504656,0.432014290784773,-0.166680233972275,2,12872,PELI3
ENST00000529006,91,0.00425348877378254,0.616402119965939,-0.248849959486513,1,13180,KDM2A
ENST00000529032,292,0.00402098936658904,0.181055969523023,-0.0670868361353038,4,10751,EMSY
ENST00000529047,243,0.00307538844186175,0.167224458089754,-0.0992499865363285,4,11818,PC
ENST00000529419,64,0.00177005961744992,0.366817198534974,-0.140949176361855,2,12671,RASSF10
ENST00000529704,1,6.2280097668771e-06,0.0692945953313993,-0.192196157353077,3,12953,POLD4
ENST00000529813,232,0.00276755513498821,0.158215878255813,-0.190134744812637,4,12890,USP47
ENST00000529912,511,0.00888328992955127,0.230565703200858,-0.101819749479903,4,11879,CHRDL2
ENST00000531036,79,0.00230660998022453,0.384565930609367,-0.08345215599316,2,11597,RBM4B
ENST00000532339,235,0.00559004427326611,0.314476552035511,-0.0604182140827928,3,10447,CD44
ENST00000533004,15,0.000289145870430161,0.219796784955403,-0.246344338124031,2,13145,IQANK1
ENST00000533608,361,0.0051913812800759,0.189597828068228,-0.0859401059001908,4,11465,EXT2
ENST00000533626,461,0.00743726454602271,0.213738864472024,-0.0545634345061427,4,10024,EIF3F
ENST00000533705,156,0.00153737960040377,0.130706831026636,-0.102861605310321,4,11902,UBQLN1
ENST00000533921,311,0.0085257633128394,0.361891377693218,-0.0683373805461431,3,10849,IMMP1L
ENST00000534336,262,0.00896398088079353,0.446180202062386,-0.107177313860914,2,12178,MALAT1
ENST00000534383,352,0.00505091196066844,0.189597828068228,-0.122476988125672,4,12248,FXYD2
ENST00000534918,206,0.00698207971346343,0.439296589525128,-0.0927022176871231,2,11853,SLC9A3-AS1
ENST00000534948,57,0.000867098951767566,0.197092927318442,-0.123680994725485,3,12338,ZNF518A
ENST00000534948,108,0.000882650579961929,0.106787075352095,-0.113786515147446,4,12110,ZNF518A
ENST00000534981,49,0.000772298635364203,0.197092927318442,-0.15374759552752,3,12681,CMAS
ENST00000534991,14,0.000288514306549032,0.219796784955403,-0.167587562138265,2,12878,URB1-AS1
ENST00000535170,246,0.00827739917467685,0.444729449512494,-0.138692246039263,2,12643,ZKSCAN1
ENST00000536575,87,0.000662006128216425,0.100921692856718,-0.145403661222838,4,12546,ORC4
ENST00000537098,101,0.00204181914021409,0.265725673720389,-0.132359852377993,3,12451,CMIP
ENST00000537269,15,0.000276029815440172,0.197092927318442,-0.196375618393934,3,12976,MIR200CHG
ENST00000537335,228,0.00550891369396158,0.314476552035511,-0.0969126306023891,3,11834,POLR1B
ENST00000537971,140,0.00423364397144412,0.400737217378607,0.494554088676168,2,7,TSPAN9
ENST00000538010,254,0.00870419561657129,0.446180202062386,-0.174871063020743,2,12919,BCL7A
ENST00000538116,279,0.00383639804014315,0.180684427121732,-0.0632315109897577,4,10552,ZCCHC8
ENST00000538204,109,0.000885437126224504,0.106787075352095,-0.0907247827454324,4,11592,MBNL3
ENST00000539261,92,0.00281606345561729,0.384565930609367,-0.634431982375306,2,13263,MGP
ENST00000539261,1285,0.0328973922569287,0.339411297889443,0.60919812304385,4,1,MGP
ENST00000539332,20,0.000370391716168053,0.197092927318442,-0.133050507490591,3,12458,DDB1
ENST00000539539,147,0.00453664020550942,0.403095486915274,-0.176498021214999,2,12933,CCAR1
ENST00000540089,125,0.00378076174036611,0.399088427069905,-0.147787601043312,2,12737,KCTD10
ENST00000540918,99,0.000802340112299909,0.106787075352095,-0.128596818010385,4,12332,TTC39C
ENST00000540977,378,0.00563313909240406,0.196965004658287,-0.0765187499506419,4,11145,RFXANK
ENST00000542230,83,0.00383345271379731,0.610688668741286,-0.118860428532098,1,12574,TMEM50B
ENST00000542447,93,0.00176377188699685,0.249508764813909,-0.217704407038464,3,13048,CADM1
ENST00000542526,187,0.00206058599119067,0.143154107193914,-0.115429206468919,4,12139,NUP93
ENST00000543226,241,0.00598162295208115,0.328311010906884,-0.151028839890278,3,12664,TRAPPC2B
ENST00000543571,315,0.00447272596742423,0.188323061923643,-0.159534411875779,4,12688,LATS1
ENST00000543915,44,0.00191709712518483,0.572238461964797,-0.165698387378447,1,12944,IL4R
ENST00000544078,543,0.0098579228327523,0.239008611358441,-0.0784734559742063,4,11223,""
ENST00000544249,215,0.00239171463287162,0.146948174391262,-0.0903470053440709,4,11581,ZNF7
ENST00000544460,354,0.00511410242784129,0.189597828068228,-0.0776276860354022,4,11192,TDRD6
ENST00000545021,51,0.000812591871578048,0.197092927318442,-0.15409578477532,3,12687,LYSMD4
ENST00000545511,26,0.000434973264212772,0.197092927318442,-0.154006359620937,3,12686,AACS
ENST00000545673,39,0.00177898213992767,0.572238461964797,-0.126473405449767,1,12657,PIAS2
ENST00000545679,421,0.00646942225389784,0.203359647945698,-0.0611728513083767,4,10414,WASHC3
ENST00000545831,196,0.00213334914130177,0.143154107193914,-0.106186561861377,4,11968,NPIPA1
ENST00000546361,253,0.00632938738229489,0.331400637923269,-0.121651114804958,3,12305,CHERP
ENST00000546590,63,0.000394823417556793,0.0831197299532657,-0.14531666084677,4,12543,TMTC2
ENST00000547195,337,0.00481398466316323,0.189459580378439,-0.0760690173483095,4,11122,IRAG1
ENST00000547733,10,0.000577672963692368,0.563213063459584,-0.367352984325336,1,13252,KIF21A
ENST00000548126,70,0.00126238509455946,0.229157523462267,-0.0819319112598601,3,11419,CCDC59
ENST00000548198,114,0.00562045957393305,0.653896099377842,-0.207473050073489,1,13100,DTX3
ENST00000548283,82,0.00146958631459764,0.23524864494109,-0.138114545495934,3,12522,TMEM116
ENST00000548925,187,0.0103992485340174,0.702568924031077,0.503445450814512,1,5,BLOC1S1
ENST00000549832,521,0.00915893546456749,0.233157314907022,-0.085950882942632,4,11466,ERBB3
ENST00000550389,355,0.00512029858282984,0.189597828068228,-0.151702488362744,4,12610,FRS2
ENST00000550811,163,0.00171203307710398,0.138783205642997,-0.122623371834192,4,12256,TUBA1A
ENST00000551374,339,0.0094747646377366,0.361891377693218,-0.0772143921944051,3,11235,SLC38A2
ENST00000553232,234,0.00783385759074653,0.439296589525128,-0.0568935362979895,2,10437,RBM19
ENST00000553456,216,0.00728942897559851,0.439296589525128,-0.196141485410817,2,13025,EMX2
ENST00000553458,80,0.0036558547677584,0.606095022309746,0.485740960730335,1,8,ALDH6A1
ENST00000553458,8,0.000140291272282107,0.219796784955403,-0.304579796777313,2,13218,ALDH6A1
ENST00000553458,32,0.000121404143167842,0.0503182234635966,-0.281911895817987,4,13145,ALDH6A1
ENST00000553514,3,0.000135610998051859,0.563213063459584,-0.155097373041985,1,12878,NDUFB1
ENST00000553645,14,4.14147387541319e-05,0.0362328402296218,-0.198477943311607,4,12932,DNAL1
ENST00000554988,261,0.00338361045785326,0.171941860162865,-0.0975639042688698,4,11772,""
ENST00000555039,153,0.00147196643597239,0.12759928653792,-0.172351483515252,4,12773,CKB
ENST00000555122,105,0.00498460120959872,0.629083702481055,-0.137872624642921,1,12761,AHNAK2
ENST00000555661,159,0.00163092086207851,0.136043417570738,-0.151796489306761,4,12613,PTGR2
ENST00000555699,18,4.91737257131261e-05,0.0362328402296218,-0.2534376023119,4,13087,LGMN
ENST00000555818,470,0.00776600132496434,0.219149948027664,-0.0884009524779492,4,11532,SIPA1L1
ENST00000556301,348,0.0050107525528769,0.189597828068228,-0.0995868716366385,4,11823,RAD51B-AS1
ENST00000556816,425,0.00661707095397516,0.205723746052826,-0.0715597657542512,4,10939,ISCA2
ENST00000557540,167,0.00890807089552673,0.700861988439462,-0.219409998494292,1,13125,ETFRF1
ENST00000557579,192,0.00464405194070541,0.314476552035511,-0.0914804547188831,3,11696,BCL2L2
ENST00000557802,9,0.000167455621819043,0.219796784955403,-0.377495935836924,2,13250,DCAF11
ENST00000559108,223,0.00249478624858037,0.148378251187989,-0.0769870931050706,4,11169,TPM1
ENST00000559169,309,0.00846219195902813,0.361891377693218,-0.0678158190467431,3,10825,LINS1
ENST00000559228,37,0.00161347904152625,0.563213063459584,0.449729717759389,1,13,MINDY2
ENST00000559228,189,0.00621609862074335,0.436212254004863,-0.254409051198904,2,13157,MINDY2
ENST00000559298,189,0.00442746474691459,0.310695581684276,-0.0835742614620346,3,11475,IQCH-AS1
ENST00000559651,9,2.15413465710605e-05,0.0297722299205179,-0.202857998236047,4,12949,ANKRD9
ENST00000559718,26,0.000503697512163167,0.24502682514644,-0.279962980906314,2,13201,USP3
ENST00000560936,407,0.00619830932525476,0.201620145139149,-0.10185592971082,4,11882,ANXA2
ENST00000561781,233,0.00279440064712738,0.159064960441418,-0.107509699008667,4,11994,RAB40C
ENST00000562215,352,0.00978152859072307,0.361891377693218,-0.113387181229691,3,12175,ERI2
ENST00000562631,1030,0.025176633661082,0.323880744305242,0.478651574161232,4,10,ADGRG1
ENST00000563038,153,0.00352708659955113,0.295243085785801,-0.360867332094782,3,13230,BCAR1
ENST00000563307,2,1.04132753841322e-05,0.0690556357098726,-0.260706287854257,2,13171,CSNK2A2
ENST00000563924,50,0.00232330060978147,0.585527649346247,-0.181595532206173,1,13013,PECAM1
ENST00000564573,258,0.0088746563151252,0.446180202062386,-0.08559279954826,2,11658,MEGF11
ENST00000564759,235,0.00284839663949733,0.160183610128075,-0.0693734700247657,4,10842,EARS2
ENST00000565768,205,0.00223749744434255,0.143789454841557,-0.326892725516697,4,13202,""
ENST00000566082,96,0.00180598970233999,0.249508764813909,-0.256317505077259,3,13145,USB1
ENST00000567008,135,0.00697839265774581,0.676211126177819,-0.10546340083747,1,12404,ZNF598
ENST00000567109,236,0.00559575256581321,0.314476552035511,-0.055122138154541,3,10106,CDH13
ENST00000567269,174,0.00536715947686164,0.407337234845665,-0.081268316006055,2,11531,CDH16
ENST00000567615,264,0.00346379903687032,0.173566120129053,-0.077199612336912,4,11175,TBL3
ENST00000567815,277,0.00703547921226879,0.335212940613195,-0.42227528231915,3,13253,RPL13
ENST00000567949,195,0.00657821437995732,0.439296589525128,-0.067325511986503,2,10981,CTU2
ENST00000568325,226,0.00257433633846289,0.151077092287758,-0.0911872770495734,4,11607,AMFR
ENST00000568654,109,0.00227187611436819,0.275993982088591,-0.0780762737083558,3,11271,COSMOC
ENST00000568672,304,0.00825788720416576,0.360277493384377,-0.124728829286983,3,12355,NAE1
ENST00000568704,60,0.00100267132542703,0.221640496485645,-0.121500858172799,3,12303,CYLD
ENST00000568956,270,0.00913317844416328,0.446180202062386,-0.0623579919573408,2,10752,ZNF865
ENST00000569021,351,0.00504493258089248,0.189597828068228,-0.0775762500151916,4,11188,MPHOSPH6
ENST00000569193,308,0.00844930288438826,0.361891377693218,-0.178134249582863,3,12866,GPT2
ENST00000569449,234,0.00558055174642481,0.314476552035511,-0.11041077442618,3,12116,""
ENST00000569673,130,0.00395796134118926,0.400546419923534,-0.0710761065702324,2,11174,INSYN1
ENST00000569972,400,0.00600268976874293,0.199034186007094,-0.235207723944168,4,13040,PARP6
ENST00000570269,21,0.001088364055707,0.563213063459584,-0.206576826798981,1,13099,""
ENST00000570269,77,0.00223863596715265,0.384565930609367,0.380883834543765,2,29,""
ENST00000571555,151,0.00461177776764848,0.403095486915274,-0.123604937993637,2,12457,RAP1GAP2
ENST00000571759,394,0.0059231078420236,0.198297354512386,-0.0663410726887344,4,10710,VAC14
ENST00000574049,34,0.000173857759563172,0.0634976741272879,-0.196224529310244,4,12918,RPA1
ENST00000575076,436,0.00680587251233985,0.207032768649457,-0.183854546607304,4,12853,NAA60
ENST00000575094,245,0.00827307473584354,0.444729449512494,-0.0611862339497222,2,10676,""
ENST00000576975,68,0.00116346783755181,0.226927557786025,-0.105340314899166,3,12020,SPACA6
ENST00000577513,460,0.00743035599243609,0.213738864472024,-0.0943535856115051,4,11690,FAM222B
ENST00000577554,376,0.00562892760015407,0.196965004658287,-0.139628425925866,4,12474,TRIM37
ENST00000578049,20,0.000342561587118519,0.227169716497646,-0.174340394378526,2,12915,SEC22B
ENST00000578307,24,7.80752147103731e-05,0.0431463155293199,-0.245065077776667,4,13065,BPTF
ENST00000579146,176,0.00391787552577102,0.295243085785801,-0.112008983706808,3,12151,PGAP3
ENST00000581312,423,0.00652308348764334,0.204528738289867,-0.112094237670083,4,12082,OTUD7B
ENST00000585258,107,0.00220387180280632,0.273177118884302,-0.108955273660814,3,12082,ZNF236-DT
ENST00000585682,56,0.000355006808249539,0.0829252960948658,-0.273054828106146,4,13125,GASK1B
ENST00000585769,133,0.00407840650478045,0.400546419923534,-0.190245661270655,2,12995,TXNL4A
ENST00000586448,288,0.00395159800535932,0.181055969523023,-0.0983991211814646,4,11794,SLC14A2
ENST00000586651,63,0.00176872812005095,0.366817198534974,-0.139171667735094,2,12649,FBXL12
ENST00000586745,218,0.00245309063151151,0.148035109253617,-0.0930560849408887,4,11654,ZNF101
ENST00000587307,151,0.0034555186415811,0.295243085785801,-0.112129265592985,3,12154,DCAF15
ENST00000587762,151,0.0077396520731901,0.676211126177819,-0.120005412506664,1,12591,MIR23AHG
ENST00000587973,49,0.000283308266533108,0.0756277192387831,-0.202666213177247,4,12948,EPG5
ENST00000588606,39,0.000822742405672592,0.279795705806041,-0.267667871054197,2,13187,SMIM22
ENST00000589217,183,0.00424866152622133,0.307923485367614,-0.080030813376201,3,11350,TMC6
ENST00000589561,267,0.00671978902176447,0.333799856912592,-0.153817929556253,3,12682,SLC44A2
ENST00000590071,265,0.00901963363815259,0.446180202062386,-0.110162343791504,2,12244,WTIP
ENST00000590310,166,0.00175569107984483,0.140275486698687,-0.129989218306736,4,12359,NMT1
ENST00000590550,230,0.00275535636213687,0.158215878255813,-0.0861744762654497,4,11470,MBD3
ENST00000590669,356,0.00987139649883942,0.361891377693218,-0.0576515824180064,3,10276,MRPL4
ENST00000590720,113,0.00560107377943691,0.653896099377842,-0.0952364184234366,1,12199,PSME3
ENST00000590806,241,0.00806580252020579,0.442190055129937,-0.133806295714265,2,12589,DNM2
ENST00000591278,308,0.00436119502342075,0.186945223011815,-0.102292819569364,4,11891,ZNF317
ENST00000591295,170,0.00385855978189425,0.295243085785801,-0.0852882050420318,3,11529,ATXN7L3
ENST00000591680,225,0.00257046559223745,0.151077092287758,-0.113497119952025,4,12104,GPATCH8
ENST00000591806,45,0.000246068303751482,0.0710151751512846,-0.154912050283359,4,12649,PWWP3A
ENST00000591841,455,0.00737470573276832,0.213738864472024,-0.0698006031088755,4,10862,CYP4F11
ENST00000592107,128,0.00385156591004659,0.399088427069905,-0.10122914558005,2,12069,TPTEP1
ENST00000592231,76,0.00218909747281524,0.382026312920375,-0.108851139744191,2,12212,USP36
ENST00000592638,162,0.00373507678280914,0.295243085785801,-0.0829511638326317,3,11458,SETBP1-DT
ENST00000592837,520,0.00914962087363459,0.233157314907022,-0.0966609124774466,4,11750,TXNL4A
ENST00000592895,140,0.0013570572334997,0.126034148143376,-0.11901556049939,4,12187,BTBD2
ENST00000593093,145,0.0044853602318522,0.403095486915274,-0.174057122252066,2,12913,CIRBP
ENST00000593256,112,0.00550776955057732,0.652228103118812,0.378410498341364,1,34,TMEM205
ENST00000593491,31,0.000634947673157181,0.271655193196248,-0.163718203035254,2,12848,LIPE-AS1
ENST00000593767,54,0.000832736048246887,0.197092927318442,-0.11872308884897,3,12266,MED25
ENST00000593812,114,0.000950168098195142,0.109723329544447,-0.204875977424002,4,12954,SLC35E1
ENST00000593863,513,0.00896079561438464,0.231222974902751,-0.233320115330062,4,13036,RPS19
ENST00000593973,203,0.00681476072421272,0.439296589525128,-0.117062769643143,2,12366,DPP9
ENST00000593973,270,0.00681958609197751,0.334993223473695,-0.116044832515812,3,12227,DPP9
ENST00000595081,275,0.00698503153646091,0.335212940613195,-0.060178886465395,3,10428,PNKP
ENST00000597230,272,0.00694729746009266,0.335212940613195,-0.109935003837978,3,12104,ZNF8-DT
ENST00000597244,476,0.00793191472489318,0.220666446818967,-0.060420989669816,4,10378,MED26
ENST00000597552,282,0.00712735046768611,0.335212940613195,-0.0757234508447372,3,11169,TIMM50
ENST00000598418,503,0.00865036585887954,0.227543060636127,-0.0530450626551126,4,9931,JOSD2
ENST00000599274,104,0.0021176110482635,0.265725673720389,-0.091949136777522,3,11710,""
ENST00000599386,19,0.000314871365011888,0.219796784955403,-0.272358372913285,2,13193,PAK4
