gene_id,feature_id,lr,df,pvalue,adj_pvalue,external_gene_name
ENSG00000142173,ENST00000300527,1.02046032855948,1,0.312409842808206,0.556340370741517,COL6A2
ENSG00000142173,ENST00000409416,1.02046032855948,1,0.312409842808206,0.556340370741517,COL6A2
ENSG00000114416,ENST00000481383,1.01970364244318,1,0.312589316302646,0.55640321568815,FXR1
ENSG00000100883,ENST00000556994,1.01870319116988,1,0.312826813444887,0.556434558232487,SRP54
ENSG00000109475,ENST00000394668,1.0179970603499,1,0.312994583622949,0.556434558232487,RPL34
ENSG00000181027,ENST00000318584,1.01720171843743,1,0.313183690199783,0.556434558232487,FKRP
ENSG00000181027,ENST00000593995,1.01720171843743,1,0.313183690199783,0.556434558232487,FKRP
ENSG00000291136,ENST00000638711,1.01426469868416,1,0.313883312546717,0.557420940229075,RABGEF1P1
ENSG00000254901,ENST00000462790,1.0099789810893,1,0.314907874544394,0.558294590179368,BORCS8
ENSG00000254901,ENST00000477565,1.00997898108929,1,0.314907874544396,0.558294590179368,BORCS8
ENSG00000117153,ENST00000367261,1.00978664488647,1,0.314953957714559,0.558294590179368,KLHL12
ENSG00000117153,ENST00000367259,1.00978664488647,1,0.314953957714559,0.558294590179368,KLHL12
ENSG00000166471,ENST00000524543,1.00776208282252,1,0.315439572255273,0.558387356096971,TMEM41B
ENSG00000166471,ENST00000533723,1.00776208282252,1,0.315439572255273,0.558387356096971,TMEM41B
ENSG00000176731,ENST00000619594,1.0071562445838,1,0.315585079981211,0.558387356096971,RBIS
ENSG00000176731,ENST00000614462,1.0071562445838,1,0.315585079981211,0.558387356096971,RBIS
ENSG00000112305,ENST00000370455,1.00488609877398,1,0.316131096365893,0.559097113142063,SMAP1
ENSG00000134285,ENST00000550765,1.0030625633102,1,0.316570590222609,0.559222138365257,FKBP11
ENSG00000134285,ENST00000553027,1.0030625633102,1,0.316570590222609,0.559222138365257,FKBP11
ENSG00000100084,ENST00000340170,1.00218886955379,1,0.316781444536525,0.559222138365257,HIRA
ENSG00000100084,ENST00000263208,1.00218886955379,1,0.316781444536525,0.559222138365257,HIRA
ENSG00000177337,ENST00000573355,1.0010758609546,1,0.317050320970714,0.559440872714213,DLGAP1-AS1
ENSG00000118785,ENST00000683620,0.998844234919943,1,0.317590330881555,0.560137608259562,SPP1
ENSG00000130208,ENST00000589781,0.994927270850724,1,0.318541080995913,0.561356733724688,APOC1
ENSG00000175274,ENST00000532253,0.994419056302156,1,0.318664711725662,0.561356733724688,TP53I11
ENSG00000160087,ENST00000349431,0.993602735371866,1,0.318863425842062,0.561356733724688,UBE2J2
ENSG00000160087,ENST00000450390,0.993602735371866,1,0.318863425842062,0.561356733724688,UBE2J2
ENSG00000267175,ENST00000590968,0.9903921097699,1,0.319646558324653,0.562478827439505,""
ENSG00000150782,ENST00000525547,0.988947622809292,1,0.319999720753243,0.562731906670111,IL18
ENSG00000204628,ENST00000504325,0.987743354791291,1,0.320294544438495,0.562731906670111,RACK1
ENSG00000204628,ENST00000507261,0.987743354791291,1,0.320294544438495,0.562731906670111,RACK1
ENSG00000136709,ENST00000393006,0.987420391540866,1,0.32037367166474,0.562731906670111,WDR33
ENSG00000134419,ENST00000569365,0.984231677246044,1,0.321156301519583,0.563240857687128,RPS15A
ENSG00000158106,ENST00000522899,0.984153178623352,1,0.321175599747128,0.563240857687128,RHPN1
ENSG00000158106,ENST00000289013,0.984153178623352,1,0.321175599747128,0.563240857687128,RHPN1
ENSG00000067369,ENST00000382044,0.983268474180974,1,0.321393202546526,0.563240857687128,TP53BP1
ENSG00000067369,ENST00000476454,0.98326847418096,1,0.321393202546529,0.563240857687128,TP53BP1
ENSG00000288852,ENST00000686810,0.98130371974559,1,0.321877150587997,0.563479156422679,""
ENSG00000288852,ENST00000688681,0.98130371974559,1,0.321877150587997,0.563479156422679,""
ENSG00000164916,ENST00000328914,0.979993020259386,1,0.322200529354092,0.563479156422679,FOXK1
ENSG00000164916,ENST00000460979,0.979993020259386,1,0.322200529354092,0.563479156422679,FOXK1
ENSG00000006837,ENST00000522501,0.979755148215069,1,0.322259263598044,0.563479156422679,CDKL3
ENSG00000137713,ENST00000341980,0.97774292537126,1,0.322756677509435,0.564080546034013,PPP2R1B
ENSG00000065559,ENST00000536413,0.976591656407493,1,0.323041722398334,0.564080546034013,MAP2K4
ENSG00000065559,ENST00000353533,0.976591656407493,1,0.323041722398334,0.564080546034013,MAP2K4
ENSG00000160588,ENST00000446386,0.971377945753776,1,0.324336763503652,0.565829823851986,MPZL3
ENSG00000160588,ENST00000278949,0.971377945753776,1,0.324336763503652,0.565829823851986,MPZL3
ENSG00000166295,ENST00000478193,0.966767576076059,1,0.325487661273019,0.567581059580921,ANAPC16
ENSG00000073849,ENST00000470633,0.963024503227416,1,0.32642603095933,0.568703410145397,ST6GAL1
ENSG00000073849,ENST00000448044,0.963024503227416,1,0.32642603095933,0.568703410145397,ST6GAL1
ENSG00000106608,ENST00000497914,0.961346283069311,1,0.326847915679587,0.568972347234079,URGCP
ENSG00000141425,ENST00000399022,0.959276256560891,1,0.327369291804814,0.568972347234079,RPRD1A
ENSG00000141425,ENST00000585953,0.959276256560891,1,0.327369291804814,0.568972347234079,RPRD1A
ENSG00000088205,ENST00000476149,0.957956836249622,1,0.327702188805688,0.568972347234079,DDX18
ENSG00000088205,ENST00000263239,0.957956836249622,1,0.327702188805688,0.568972347234079,DDX18
ENSG00000153015,ENST00000607786,0.957779457974958,1,0.327746976551205,0.568972347234079,CWC27
ENSG00000009780,ENST00000373949,0.957728205939528,1,0.327759919124477,0.568972347234079,FAM76A
ENSG00000009780,ENST00000373954,0.957728205939528,1,0.327759919124477,0.568972347234079,FAM76A
ENSG00000136813,ENST00000338205,0.954045782805945,1,0.328691611727019,0.57007682231666,ECPAS
ENSG00000136813,ENST00000684092,0.954045782805945,1,0.328691611727019,0.57007682231666,ECPAS
ENSG00000185201,ENST00000616316,0.950944566697558,1,0.329478982490012,0.570926597093566,IFITM2
ENSG00000182180,ENST00000479005,0.950368917599349,1,0.329625410293979,0.570926597093566,MRPS16
ENSG00000182180,ENST00000372945,0.950368917599349,1,0.329625410293979,0.570926597093566,MRPS16
ENSG00000161249,ENST00000488892,0.949519694883122,1,0.329841584977782,0.571044718003257,DMKN
ENSG00000226742,ENST00000451882,0.94826199226879,1,0.33016208710695,0.571087178012425,HSBP1L1
ENSG00000226742,ENST00000587347,0.94826199226879,1,0.33016208710695,0.571087178012425,HSBP1L1
ENSG00000161249,ENST00000392206,0.944581527770424,1,0.33110236854377,0.572457007262728,DMKN
ENSG00000197694,ENST00000630147,0.939292445390933,1,0.332459873042029,0.574119337989419,SPTAN1
