feats,Top,p.value,FDR,logFC,cluster,ranking,hgnc_symbol
ENST00000489988,571,0.00064478014845748,0.0156112599307696,-0.136943251728361,5,12313,DENND10
ENST00000490164,430,0.00432361316340711,0.139421442148379,-0.100309499452447,4,12237,PCGF5
ENST00000490258,1150,0.00404718705401526,0.0487985179921527,-0.110238100147839,5,11734,CRNKL1
ENST00000490419,166,0.00323417603730847,0.266493789241051,-0.13614787149804,2,12821,HOXB6
ENST00000490711,337,0.0080496323021869,0.33065866987721,-0.102321496529009,2,12154,AGPAT1
ENST00000490711,413,0.00806707935358902,0.268517907934839,-0.0995053085511461,3,12194,AGPAT1
ENST00000490857,1031,0.00311806660364477,0.0418886415258465,-0.0710095644616665,5,10295,MFF
ENST00000490965,202,0.00270627638128908,0.185065698651073,-0.0945395447491031,3,12053,CFLAR
ENST00000490965,982,0.0027613999409575,0.0389458260720213,-0.0811402391941121,5,10749,CFLAR
ENST00000490989,90,0.00554974085783202,0.686962772407768,-0.0843788964989663,1,12207,SKIL
ENST00000491142,38,0.000271009078795455,0.0988897864888887,-0.142221589868345,2,12923,HPS4
ENST00000491306,143,0.00260235322345679,0.252141635286358,0.449495914201008,2,9,RPL37A
ENST00000491936,47,0.000450384025057983,0.131104911261558,-0.251919050441631,2,13645,TMEM50A
ENST00000492112,295,0.000129190519956182,0.00607118119167889,-0.137947787895153,5,12333,SRSF10
ENST00000492118,323,0.000155812213800249,0.00668883020605034,-0.14638328292491,5,12490,ATF3
ENST00000492361,149,0.00896403057220767,0.686962772407768,-0.098155548586901,1,12559,TNFRSF1B
ENST00000492367,353,0.00869720311032668,0.337787508176414,-0.0841489292325123,2,11617,NUCB1
ENST00000492367,1564,0.00880433737592488,0.0780106602903215,-0.0702345393594197,5,10237,NUCB1
ENST00000492590,957,0.00255667280337976,0.0370437043800039,-0.0943036354934436,5,11256,FHIT
ENST00000493216,432,0.00435890233157822,0.139908656781629,-0.0691605048989775,4,11186,MED15
ENST00000493230,283,0.00207421400236478,0.101592545917309,-0.102606268408677,4,12300,HRAS
ENST00000493230,883,0.00208605016488718,0.0327578387161106,-0.0985666515421934,5,11388,HRAS
ENST00000493678,584,0.000662196413396337,0.0157226292262904,-0.137145992858873,5,12316,PARK7
ENST00000494094,416,0.000286852001619708,0.00956127368860305,-0.12733335258844,5,12105,CREB1
ENST00000494412,379,0.00935074028887075,0.339802730505946,-0.0806655356416986,2,11486,CMSS1
ENST00000494539,107,0.00189582791096985,0.242524140938147,-0.125304513779341,2,12634,CLHC1
ENST00000494777,441,0.00868668168372563,0.272532595689728,-0.0929453216576489,3,11987,STK11IP
ENST00000494815,124,0.00049872405526514,0.055768610889568,-0.135362222921336,4,12882,TSPAN4
ENST00000494941,270,0.00584926572426608,0.299905472167826,-0.0716587141449753,2,11089,PYROXD2
ENST00000495001,411,0.00801137560689082,0.268517907934839,-0.0959221264043772,3,12097,ARMH3
ENST00000495001,603,0.00807678431578912,0.185725856256604,-0.0857009162137468,4,11811,ARMH3
ENST00000495017,170,0.00967011747894822,0.686962772407768,-0.139445901143681,1,13220,PRR5
ENST00000495017,628,0.000797983690152869,0.0175810340846331,-0.133999169940284,5,12243,PRR5
ENST00000495261,1204,0.00464252040790903,0.053466102970155,-0.0767478622454499,5,10569,OPA1
ENST00000495461,1628,0.00948299688440453,0.0807685717439516,-0.346699990033363,5,13715,SELENOK
ENST00000495585,273,0.00196923927243284,0.0999442328116538,-0.236123348293883,4,13627,PRRC2C
ENST00000495646,224,0.0013904556771647,0.0860716893730615,-0.150281528279699,4,13078,ASAP3
ENST00000495646,763,0.00139994332217984,0.025413600751871,-0.144364932678136,5,12458,ASAP3
ENST00000496004,563,0.00697385572191018,0.171668426987085,-0.0848875590933203,4,11784,RHEB
ENST00000496343,27,0.000193024484424255,0.0963569631743388,-0.25745844980508,2,13673,SGK2
ENST00000496384,297,0.000130205275919123,0.00607118119167889,-0.127884359788826,5,12120,BRAF
ENST00000496429,245,8.86448319294899e-05,0.00499483407636254,-0.158035521148904,5,12666,UQCRQ
ENST00000496676,375,0.00929039196249458,0.339802730505946,-0.0622308868693602,2,10601,RNF207
ENST00000496676,1620,0.00939962570907807,0.0804323492141934,-0.0519407402216707,5,8986,RNF207
ENST00000496751,61,0.00406825440378036,0.686962772407768,-0.190003478969742,1,13588,NMNAT1
ENST00000496841,572,0.00723258832937144,0.175224454367376,-0.0884891663150281,4,11894,MYO7B
ENST00000497571,325,0.00756278429932721,0.32240596855349,-0.0768303553860339,2,11335,KLF6
ENST00000497571,1486,0.00766528834750747,0.071525496787711,-0.0641261233930677,5,9871,KLF6
ENST00000497693,842,0.00179711407879648,0.0295947551265938,-0.0876205132415619,5,11032,GRHPR
ENST00000497825,1331,0.00582849721339952,0.0607197162742282,-0.0733216751283469,5,10421,RPL12
ENST00000498139,623,0.00847727735601874,0.188409841807816,-0.0866316463731167,4,11845,ARTN
ENST00000498139,1545,0.00849915539020663,0.0762769790865451,-0.0832209516340176,5,10846,ARTN
ENST00000498238,109,0.00110515026865013,0.135671145297119,-0.136320158058552,3,12920,RSRP1
ENST00000498281,171,0.00202833861498412,0.164473352253625,-0.103865075890529,3,12314,IQSEC2
ENST00000498309,182,0.00225926632710554,0.170506242707008,-0.110309447911732,3,12446,UQCRQ
